regional conditions individual,road type business,criminal records,health records,income,credit limit,market share category,market growth,market trends,cash flow from operations category,cash flow from investing category,cash flow from financing category,operating expenses,revenue,gross profit margin category,net profit margin category,return on assets category,credit history,management experience,customer retention rates category,customer acquisition costs category,collateral category,obsolescence rates category,account receiveable category,debt category,interest rates category,regulatory environment,marketing strategy,geographic location,credit score
3,2,0,2,113699539.2,409318341.0,3,0,0,0,0,0,460979288.6,8703071861,2,2,2,3,3,3,1,2,2,3,0,1,0,0,3,2
3,2,0,2,236279054.9,850604597.8,1,0,0,0,0,0,495959044.5,10616841725,2,2,2,3,3,3,1,2,2,3,0,1,0,0,3,2
3,2,0,2,34045300.45,122563081.6,3,0,0,0,0,0,940669013.0,8411610750,2,2,2,3,3,3,0,2,2,3,0,1,0,0,3,7
3,2,0,2,47358818.94,170491748.2,3,0,0,0,0,0,860849718.3,9954259250,2,2,2,3,3,3,0,2,2,3,0,1,0,0,3,5
3,2,0,2,104004910.6,374417678.0,3,0,0,0,0,0,988748784.1,3387425900,2,2,2,3,3,3,0,2,2,3,0,1,0,0,3,7
3,2,0,2,49415674.96,177896429.9,3,0,0,0,0,0,596257608.9,5321802293,2,2,2,3,3,3,0,2,2,3,0,1,0,0,3,7
3,2,0,2,298376789.3,1074156441.0,1,0,0,0,0,0,840122559.4,9213684971,2,2,2,3,3,3,0,2,2,3,0,1,0,0,3,7
3,2,0,2,183151682.5,659346056.9,3,0,0,0,0,0,578150278.3,5834681792,2,2,2,3,3,3,0,2,2,3,0,1,0,0,3,7
3,2,0,2,82062903.79,295426453.6,3,0,0,0,0,0,750448864.4,3597018120,2,2,2,3,3,3,0,2,2,3,0,1,0,0,3,5
3,2,0,2,214904693.9,773656897.9,1,0,0,0,0,0,824160561.8,10385237378,2,2,2,3,3,3,0,2,2,3,0,1,0,0,3,7
3,2,0,2,47583560.2,171300816.7,3,0,0,0,0,0,709699243.4,4144210663,2,2,2,3,3,3,0,2,2,3,0,1,0,0,3,7
3,2,0,2,193731083.0,697431898.7,3,0,0,0,0,0,926198588.0,4621617922,2,2,2,3,3,3,0,2,2,3,0,1,0,0,3,5
3,2,0,2,30182500.49,108657001.8,3,0,0,0,0,0,657976217.1,3576942676,2,2,2,3,3,3,0,2,2,3,0,2,0,0,3,8
3,2,0,2,191627444.8,689858801.2,3,0,0,0,0,0,763349069.0,6999137032,2,2,2,3,3,3,0,2,2,3,0,2,0,0,3,8
3,2,0,2,113608551.6,408990785.8,3,0,0,0,0,0,931022325.6,6612824578,2,2,2,3,3,3,0,2,2,3,0,2,0,0,3,8
3,2,0,2,49459485.29,178054147.0,3,0,0,0,0,0,577744339.7,3930413214,2,2,2,3,3,3,0,2,2,3,0,2,0,0,3,8
